person_id,name,born,died
nm0546621,"Gilles Margaritis",1912,1965
nm0179290,"Francis Corby",1893,1960
nm0491048,"Stan Laurel",1890,1965
nm0377766,"Charlotte Henry",1914,1980
nm0736778,"Charley Rogers",1887,1956
nm0152156,"Anna Alice Chapin",1880,1920
nm0000012,"Bette Davis",1908,1989
nm0170923,"Ann Coleman",,
nm0002197,"William Axt",1888,1959
nm0001635,"William Powell",1892,1984
nm0671738,"Nat Pendleton",1895,1967
nm0386944,"Adolf Hitler",1889,1945
nm0934819,"Herbert Windt",1894,1965
nm0878604,"Derek N. Twist",1905,1979
nm0140914,"Madeleine Carroll",1906,1987
nm0071657,"Charles Bennett",1899,1995
nm0403398,"William Hurlbut",1878,1957
nm0001224,"Errol Flynn",1909,1959
nm0041172,"Lionel Atwill",1885,1946
nm0005803,"Hal Mohr",1894,1974
nm0332539,"Edmund Goulding",1891,1959
nm0753452,"Morrie Ryskind",1895,1985
nm0570130,"James Kevin McGuinness",1893,1950
nm0390192,"Gloria Holden",1903,1991
nm0006388,"David O. Selznick",1902,1965
nm0796662,"Sylvia Sidney",1910,1999
nm0000075,"Spencer Tracy",1900,1967
nm0000581,"Joseph L. Mankiewicz",1909,1993
nm0000011,"Gary Cooper",1901,1961
nm0000795,"Jean Arthur",1900,1991
nm0822034,"Lionel Stander",1908,1994
nm0001008,"Frank Capra",1897,1991
nm0728307,"Robert Riskin",1897,1955
nm0720904,"Alma Reville",1899,1982
nm0000048,"Peter Lorre",1904,1964
nm0778818,"Allan Scott",1906,1995
nm0391750,"Ben Holmes",1890,1943
nm0185924,"Kenneth Craig",1914,1994
nm0587178,"Lillian Miles",1907,1972
nm0388554,"Arthur Hoerl",1891,1968
nm0386359,"George A. Hirliman",1901,1952
nm0933133,"Carey Wilson",1889,1962
nm0566948,"Joel McCrea",1905,1990
nm0375484,"Lillian Hellman",1905,1984
nm0326418,"Samuel Goldwyn",1879,1974
nm0771584,"Joseph Schildkraut",1896,1964
nm0430763,"Matthew Josephson",1899,1978
nm0495259,"Helen Leary",1900,
nm0002050,"Irene Dunne",1898,1990
nm0366454,"Moss Hart",1904,1961
nm0372942,"Ben Hecht",1894,1964
nm0834077,"James Street",1903,1954
nm0308604,"Robert Carson",1909,1983
nm0478373,"Henri La Barthe",1887,1963
nm0780020,"Vincent Scotto",1874,1952
nm0528800,"Sharon Lynn",1901,1963
nm0278006,"James Finlayson",1887,1953
nm0012148,"Felix Adler",1884,1963
nm0549385,"Percy Marmont",1883,1977
nm0339326,"Edwin Greenwood",1895,1939
nm0035613,"Anthony Armstrong",1897,1976
nm0000014,"Olivia de Havilland",1916,
nm0445033,"William Keighley",1889,1984
nm0002285,"Pat O'Brien",1899,1983
nm0792130,"Ann Sheridan",1915,1967
nm0240417,"Warren Duff",1904,1973
nm0664990,"Joe Pasternak",1901,1991
nm0000071,"James Stewart",1908,1997
nm0616730,"Henry Myers",1893,1975
nm0062738,"Max Brand",1893,1944
nm0308177,"Oliver H.P. Garrett",1894,1952
nm0000022,"Clark Gable",1901,1960
nm0397608,"Sidney Howard",1891,1939
nm0572142,"Victor McLaglen",1886,1959
nm0828419,"George Stevens",1904,1975
nm0347451,"Fred Guiol",1898,1964
nm0057412,"Wendy Barrie",1912,1978
nm0236279,"Arthur Conan Doyle",1859,1930
nm0238898,"Daphne Du Maurier",1907,1989
nm0001452,"Charles Laughton",1899,1962
nm0319148,"Sidney Gilliat",1908,1994
nm0365661,"Joan Harrison",1907,1994
nm0485943,"Walter Lang",1896,1972
nm0782682,"William A. Seiter",1890,1964
nm0274923,"Walter Ferris",1882,1965
nm0122364,"Frances Hodgson Burnett",1849,1924
nm0643353,"Merle Oberon",1911,1979
nm0002093,"Greer Garson",1904,1996
nm0646829,"Edna May Oliver",1883,1942
nm0613848,"Jane Murfin",1884,1955
nm0000807,"Jane Austen",1775,1817
nm0550782,"Brenda Marshall",1915,1992
nm0526946,"Ida Lupino",1918,1995
nm0907003,"Jerry Wald",1911,1962
nm0531335,"Richard Macaulay",1909,1969
nm0000697,"Billy Wilder",1906,2002
nm0003836,"Michael Powell",1905,1990
nm0010063,"Rodney Ackland",1908,1991
nm0942863,"Teresa Wright",1918,2005
nm0462111,"Arthur Kober",1900,1975
nm0580882,"Philip Merivale",1886,1946
nm0713270,"Gene Raymond",1908,1998
nm0469915,"Norman Krasna",1909,1984
nm0583301,"Otto Meyer",1900,1980
nm0726542,"André Rigaud",,
nm0000043,"Veronica Lake",1922,1973
nm0001333,"Susan Hayward",1917,1975
nm0810158,"Thorne Smith",1892,1934
nm0129278,"Clara Calamai",1909,1998
nm0188096,"Dhia Cristiani",1921,1977
nm0899581,"Luchino Visconti",1906,1976
nm0211459,"Giuseppe De Santis",1917,1997
nm0001055,"Claudette Colbert",1903,1996
nm0291548,"Sidney Franklin",1893,1972
nm0676688,"Susan Peters",1921,1952
nm0503777,"Mervyn LeRoy",1900,1987
nm0921995,"Claudine West",1890,1943
nm0385264,"James Hilton",1900,1954
nm0472603,"Otto Kruger",1885,1974
nm0005870,"John F. Seitz",1892,1979
nm0187284,"Laird Cregar",1914,1944
nm0878338,"Frank Tuttle",1892,1963
nm0817929,"Dorothy Spencer",1909,2002
nm0107795,"Felix Bressart",1892,1949
nm0501872,"Melchior Lengyel",1880,1974
nm0562372,"Edwin Justus Mayer",1896,1960
nm0006128,"Werner R. Heymann",1896,1961
nm0002146,"James Wong Howe",1899,1976
nm0258493,"Julius J. Epstein",1909,2000
nm0057121,"Edith Barrett",1907,1977
nm0352413,"Alexander Hammid",1907,2004
nm0619798,"J. Carrol Naish",1896,1973
nm0118227,"Sidney Buchman",1902,1975
nm0136994,"Macdonald Carey",1913,1994
nm0928642,"Thornton Wilder",1897,1975
nm0072639,"Sally Benson",1897,1972
nm0264278,"William Eythe",1918,1957
nm0674169,"William Perlberg",1900,1968
nm0792845,"Robert E. Sherwood",1896,1955
nm0006087,"Hugo Friedhofer",1901,1981
nm0000636,"William Shakespeare",1564,1616
nm0732648,"George Robinson",1890,1958
nm0522871,"Edward T. Lowe Jr.",1890,1973
nm0540862,"Paul Malvern",1902,1993
nm0467396,"Henry Koster",1905,1988
nm0307750,"Peggy Ann Garner",1932,1984
nm0829038,"Robert Stevenson",1905,1986
nm0000023,"Judy Garland",1922,1969
nm0107082,"Lucille Bremer",1917,1996
nm0106505,"Irving Brecher",1914,2008
nm0002545,"Preston Sturges",1898,1959
nm0795640,"Leo Shuken",1906,1976
nm0794297,"Anne Shirley",1918,1993
nm0151452,"Raymond Chandler",1888,1959
nm0001328,"Howard Hawks",1896,1977
nm0002145,"Trevor Howard",1913,1988
nm0369743,"Anthony Havelock-Allan",1904,2003
nm0002113,"Sydney Greenstreet",1879,1954
nm0306786,"Reginald Gardiner",1903,1980
nm0324013,"Peter Godfrey",1899,1970
nm0173532,"Adele Comandini",1898,1987
nm0005872,"Leon Shamroy",1901,1974
nm0664273,"Cornel Wilde",1912,1989
nm0002022,"Jeanne Crain",1925,2003
nm0821472,"John M. Stahl",1886,1950
nm0527331,"Jan Lustig",1902,1979
nm0001656,"Donna Reed",1921,1986
nm0406655,"Claude Ibéria",,
nm0196816,"Josette Day",1914,1978
nm0314590,"Nane Germon",1909,2001
nm0167496,"René Clément",1913,1996
nm0207305,"Jeanne-Marie Leprince de Beaumont",1711,1780
nm0005952,"Georges Auric",1899,1983
nm0896015,"Martha Vickers",1925,1971
nm0432613,"Alfred Junge",1886,1964
nm0336434,"Allan Gray",1904,1973
nm0006203,"Cyril J. Mockridge",1896,1979
nm0001514,"Victor Mature",1913,1999
nm0588003,"Winston Miller",1910,1994
nm0482193,"Stuart N. Lake",1889,1964
nm0810676,"Rinaldo Smordoni",1933,
nm0650976,"Bruno Ortensi",,
nm0290000,"Adolfo Franci",1895,1954
nm0953790,"Cesare Zavattini",1902,1989
nm0721468,"Dalton S. Reymond",1896,1978
nm0808949,"Kent Smith",1907,1985
nm0802563,"Robert Siodmak",1900,1973
nm0227571,"Mel Dinelli",1912,1991
nm0941253,"Monty Woolley",1888,1963
nm0202681,"Delmer Daves",1904,1977
nm0329993,"Anita Gordon",1929,2015
nm0780799,"Ted Sears",1900,1958
nm0485702,"Charles Lang",1902,1998
nm0001322,"Rex Harrison",1908,1990
nm0078923,"Edna Best",1900,1974
nm0225283,"R.A. Dick",1898,1979
nm0463334,"Fred Kohlmar",1905,1969
nm0336531,"Coleen Gray",1922,2015
nm0516876,"Gene Lockhart",1891,1957
nm0013914,"Lloyd Ahern Sr.",1905,1983
nm0340343,"William Lindsay Gresham",1909,1962
nm0431922,"F.J. McCormick",1890,1947
nm0715346,"Carol Reed",1906,1976
nm0005944,"William Alwyn",1905,1985
nm0001414,"Danny Kaye",1911,1987
nm0293388,"Everett Freeman",1911,1991
nm0000078,"John Wayne",1907,1979
nm0000955,"Ward Bond",1903,1960
nm0821716,"Laurence Stallings",1894,1968
nm0001537,"Ray Milland",1907,1986
nm0268513,"John Farrow",1904,1963
nm0490206,"Jonathan Latimer",1906,1983
nm0325785,"Harold Goldman",1889,1956
nm0329304,"Frances Goodrich",1890,1984
nm0832593,"Lesley Storm",1898,1975
nm0106764,"Richard L. Breen",1918,1967
nm0027173,"Maxwell Anderson",1888,1959
nm0000028,"Rita Hayworth",1918,1987
nm0806041,"Everett Sloane",1909,1965
nm0006257,"Heinz Roemheld",1901,1985
nm0959003,"Stefan Zweig",1881,1942
nm0693281,"H.C. Potter",1904,1977
nm0363316,"Leigh Harline",1907,1969
nm0280178,"Barry Fitzgerald",1888,1961
nm0003318,"Howard Duff",1913,1990
nm0838066,"Francis L. Sullivan",1903,1956
nm0000180,"David Lean",1908,1991
nm0371552,"Stanley Haynes",1906,1958
nm0000974,"Walter Brennan",1894,1974
nm0001336,"Van Heflin",1908,1971
nm0796645,"George Sidney",1916,2002
nm0005792,"Ted D. McCord",1900,1976
nm0463441,"Akikazu Kôno",,
nm0000041,"Akira Kurosawa",1910,1998
nm0879939,"Keinosuke Uekusa",1910,1993
nm0609404,"Sôjirô Motoki",1914,1977
nm0040916,"Yûharu Atsuta",1905,1993
nm0753479,"Chishû Ryû",1904,1993
nm0361697,"Setsuko Hara",1920,2015
nm0875366,"Yumeji Tsukioka",1922,2017
nm0654868,"Yasujirô Ozu",1903,1963
nm0388303,"John Hodiak",1914,1955
nm0006125,"Lennie Hayton",1908,1971
nm0900944,"Paul Vogel",1899,1975
nm0573640,"Stephen McNally",1911,1994
nm0869860,"Leo Tover",1900,1964
nm0416556,"Henry James",1843,1916
nm0178716,"Aaron Copland",1900,1990
nm0815433,"Ann Sothern",1909,2001
nm0797012,"Sol C. Siegel",1903,1982
nm0143018,"María Casares",1922,1996
nm0370865,"Nicolas Hayer",1898,1978
nm0195618,"Jean d'Eaubonne",1903,1971
nm0245385,"Allan Dwan",1885,1981
nm0113689,"Harry Brown",1917,1986
nm0335455,"James Edward Grant",1905,1966
nm0343481,"Roland Gross",1909,1989
nm0869429,"Audrey Totter",1917,2013
nm0899887,"Mario Vitale",1923,2003
nm0744023,"Roberto Rossellini",1906,1977
nm0493446,"Beirne Lay Jr.",1909,1982
nm0801026,"Helen Simpson",1897,1940
nm0926235,"James Whitmore",1921,2009
nm0672093,"Erdman Penner",1905,1956
nm0041598,"Eleanor Audley",1905,1991
nm0527217,"Hamilton Luske",1903,1968
nm0674518,"Charles Perrault",1628,1703
nm0670328,"Bill Peet",1915,2002
nm0874308,"Dalton Trumbo",1905,1976
nm0936727,"Googie Withers",1917,2011
nm0252100,"Jo Eisinger",1909,1991
nm0449946,"Gerald Kersh",1911,1968
nm0017274,"Luis Alcoriza",1918,1992
nm0488601,"Juan Larrea",,
nm0000895,"Barbara Bel Geddes",1922,2005
nm0001588,"Jack Palance",1919,2006
nm0614645,"Richard Murphy",1912,1993
nm0865262,"Richard Todd",1919,2009
nm0421862,"Selwyn Jepson",1899,1989
nm0000034,"William Holden",1918,1981
nm0002233,"Erich von Stroheim",1885,1957
nm0647970,"Nancy Olson",1928,
nm0551261,"D.M. Marshman Jr.",1922,2015
nm0542649,"Anthony Mann",1906,1967
nm0630393,"Louis Nicoletti",1906,1969
nm0292433,"William Frawley",1887,1966
nm0562474,"Michael Mayer",1952,
nm0445287,"Richard Keith",1950,
nm0006067,"Robert Farnon",1917,2005
nm0324578,"Ivan Goff",1910,1999
nm0147599,"Suso Cecchi D'Amico",1914,2010
nm0447405,"Charles Kemper",1900,1950
nm0797197,"Henryk Sienkiewicz",1846,1916
nm0397022,"Sonya Levien",1888,1960
nm0842677,"Nora Swinburne",1902,2000
nm0460874,"Esmond Knight",1906,1987
nm0568374,"Kenneth McEldowney",1906,2004
nm0764878,"M.A. Partha Sarathy",,
nm0424345,"Mervyn Johns",1899,1992
nm0000008,"Marlon Brando",1924,2004
nm0001369,"Rock Hudson",1925,1985
nm0011105,"Julie Adams",1926,2019
nm0437520,"Nobuo Kaneko",1923,1995
nm0001954,"Claire Bloom",1931,
nm0001284,"Michael Gough",1916,2011
nm0049608,"Michael Balcon",1896,1977
nm0752813,"Robert Ryan",1909,1973
nm0576127,"Ralph Meeker",1920,1988
nm0003226,"Kenji Mizoguchi",1898,1956
nm0756905,"Ichirô Saitô",1909,1979
nm0444476,"Howard Keel",1919,2004
nm0005668,"Wilfrid M. Cline",1903,1976
nm0606206,"Irene Morra",1893,1978
nm0000305,"Mel Blanc",1908,1989
nm0005196,"Paul Mazursky",1930,2014
nm0170039,"Stephen Coit",1920,2005
nm0755274,"Howard Sackler",1929,1982
nm0000005,"Ingmar Bergman",1918,2007
nm0848251,"William Talman",1915,1968
nm0869064,"José Torvay",1909,1973
nm0537784,"Daniel Mainwaring",1902,1977
nm0002107,"Betty Grable",1916,1973
nm0915536,"David Wayne",1914,1995
nm0624535,"Jean Negulesco",1900,1993
nm0000879,"Anne Baxter",1923,1985
nm0000731,"Brian Aherne",1902,1986
nm0033780,"William Archibald",1917,1970
nm0006323,"Dimitri Tiomkin",1894,1979
nm0750640,"Barbara Rush",1927,
nm0236866,"Charles Drake",1917,1994
nm0261400,"Harry Essex",1910,1997
nm0191901,"Jack Cummings",1900,1989
nm0337113,"Kathryn Grayson",1922,2010
nm0000038,"Grace Kelly",1929,1982
nm0801786,"Donald Sinden",1923,2014
nm0956547,"Sam Zimbalist",1904,1958
nm0005892,"Robert Surtees",1906,1985
nm0795289,"Max Showalter",1917,2000
nm0383261,"Chieko Higashiyama",1890,1980
nm0756907,"Takanobu Saitô",1924,2004
nm0599044,"Pierre Montazel",1911,1975
nm0065442,"Jacques Becker",1906,1960
nm0341071,"Maurice Griffe",1921,2013
nm0814773,"Alberto Sordi",1920,2003
nm0000065,"Nino Rota",1911,1979
nm0000018,"Kirk Douglas",1916,
nm0510134,"Paul Lukas",1891,1971
nm0894523,"Jules Verne",1828,1905
nm0829359,"Elaine Stewart",1930,2011
nm0503585,"Alan Jay Lerner",1918,1986
nm0001207,"José Ferrer",1912,1992
nm0534045,"Fred MacMurray",1908,1991
nm0006452,"Stanley Kramer",1913,2001
nm0092267,"Pierre Boileau",1906,1989
nm0604702,"Harry Morgan",1915,2011
nm0077086,"Leonard Bernstein",1918,1990
nm0002011,"Lee J. Cobb",1911,1976
nm0001415,"Elia Kazan",1909,2003
nm0818545,"Sam Spiegel",1901,1985
nm0728812,"Thelma Ritter",1902,1969
nm0720568,"Tommy Rettig",1941,1996
nm0408348,"Hiroshi Inagaki",1905,1980
nm0948982,"Eiji Yoshikawa",1892,1962
nm0392950,"Robert B. Homel",,
nm0000063,"Anthony Quinn",1915,2001
nm0000865,"Richard Basehart",1914,1984
nm0209569,"Dino De Laurentiis",1919,2010
nm0164690,"Charles G. Clarke",1899,1983
nm0919730,"Joan Weldon",1930,
nm0607504,"Jeff Morrow",1907,1993
nm0168759,"Franklin Coen",1912,1990
nm0020041,"William Alland",1916,1997
nm0003110,"Cesar Romero",1907,1994
nm0916139,"James R. Webb",1910,1974
nm0004282,"Anne Francis",1930,2011
nm0129894,"Louis Calhern",1895,1956
nm0371135,"Margaret Hayes",1916,1977
nm0402805,"Evan Hunter",1926,2005
nm0200125,"William H. Daniels",1901,1970
nm0662223,"Eleanor Parker",1922,2013
nm0628305,"Walter Newman",1916,1993
nm0000308,"Ernest Borgnine",1917,2012
nm0086198,"Betsy Blair",1923,2009
nm0542720,"Delbert Mann",1920,2007
nm0154665,"Paddy Chayefsky",1923,1981
nm0052343,"Subir Banerjee",,
nm0006249,"Satyajit Ray",1921,1992
nm0051808,"Bibhutibhushan Bandyopadhyay",1894,1950
nm0593970,"Subrata Mitra",1931,2001
nm0827856,"Stewart Stern",1922,2015
nm0944779,"Kaoru Yachigusa",1931,
nm0414965,"Ulla Jacobsson",1929,1982
nm0491306,"Arthur Laurents",1918,2011
nm0519838,"Ilya Lopert",,1971
nm0093397,"Guy Bolton",1884,1979
nm5581192,"Kanailal Basu",,
nm0483740,"Pascal Lamorisse",1950,
nm0503709,"Maurice Leroux",1923,1992
nm0005895,"Edmond Séchan",1919,2002
nm0029203,"Jean André",1916,1980
nm0000003,"Brigitte Bardot",1934,
nm0548355,"Jane Marken",1895,1976
nm0671862,"Roger Vadim",1928,2000
nm0928208,"Fred M. Wilcox",1907,1964
nm0401738,"Cyril Hume",1900,1966
nm0067651,"Robert Belcher",1910,2000
nm0922143,"Jessamyn West",1902,1984
nm0595573,"Ivan Moffat",1918,2002
nm0733476,"Mark Robson",1913,1978
nm0002141,"Celeste Holm",1917,2012
nm0665875,"John Patrick",1905,1995
nm0058129,"Philip Barry",1896,1949
nm0006234,"Cole Porter",1891,1964
nm0309588,"Larry Gates",1915,1996
nm0796923,"Don Siegel",1912,1991
nm0278277,"Jack Finney",1911,1995
nm0172628,"Richard Collins",1914,2013
nm0236740,"Carmen Dragon",1914,1984
nm0499626,"Ernest Lehman",1915,2005
nm0131460,"Mario Camerini",1895,1981
nm0006132,"Kenyon Hopkins",1912,1983
nm0503594,"Carl Lerner",1912,1973
nm0700084,"Frank Puglia",1892,1975
nm0773677,"Charles H. Schneer",1920,2009
nm0268012,"Felicia Farr",1932,
nm0374187,"David Heilweil",1917,1989
nm0587332,"Gene Milford",1902,1991
nm0341431,"Andy Griffith",1926,2012
nm0290047,"Anthony Franciosa",1928,2006
nm0000527,"Walter Matthau",1920,2000
nm0789485,"Mickey Shaughnessy",1920,1985
nm0041602,"Maxine Audley",1923,1992
nm0011625,"Dawn Addams",1930,1985
nm0580959,"Vasiliy Merkurev",1904,1978
nm0863737,"Mariya Timofeeva",,
nm0002001,"Maurice Chevalier",1888,1972
nm0056319,"Suzanne Baron",1927,
nm0785792,"Adrienne Servantie",1907,2000
nm0478327,"Jean L'Hôte",1929,1985
nm0739062,"Alain Romans",1905,1988
nm0099961,"Jean Bourgoin",1913,1991
nm0001258,"James Garner",1928,2014
nm0517597,"Joshua Logan",1908,1988
nm0085038,"Gunnar Björnstrand",1909,1986
nm0691555,"Nils Poppe",1908,2000
nm0587256,"Vera Miles",1929,
nm0703033,"Anthony Quayle",1913,1989
nm0831905,"Harold J. Stone",1913,2005
nm0196536,"Morton DaCosta",1914,1989
nm0173679,"Betty Comden",1917,2006
nm0219532,"Patrick Dennis",1921,1976
nm0468237,"Ernie Kovacs",1919,1962
nm0850168,"Daniel Taradash",1913,2003
nm0000537,"Steve McQueen",1930,1980
nm0181080,"Aneta Corsaut",1933,1995
nm0800796,"Theodore Simonson",,
nm0223330,"Von Dexter",1912,1996
nm0940946,"Joanne Woodward",1930,
nm0290809,"Harriet Frank Jr.",1917,
nm0068772,"Harry Bellaver",1905,1993
nm0224614,"Don Diamond",1921,2011
nm0836328,"John Sturges",1910,1992
nm0002133,"Ernest Hemingway",1899,1961
nm0194193,"Zbigniew Cybulski",1927,1967
nm0473109,"Ewa Krzyzewska",1939,2003
nm0953664,"Waclaw Zastrzezynski",1900,1959
nm0711905,"Terence Rattigan",1911,1977
nm0370144,"Jack Hawkins",1910,1973
nm0000963,"Stephen Boyd",1931,1977
nm0000683,"Gore Vidal",1925,2012
nm0926919,"Bernhard Wicki",1919,2000
nm0001777,"Dean Stockwell",1936,
nm0505670,"Meyer Levin",1905,1981
nm0005573,"Richard D. Zanuck",1934,2012
nm0789185,"Albert Sharpe",1885,1970
nm0640618,"Jimmy O'Dea",1899,1965
nm0442551,"H.T. Kavanagh",1876,1933
nm0005670,"William H. Clothier",1903,1996
nm0705228,"Martin Rackin",1918,1976
nm0590799,"Yoshio Miyajima",1910,1998
nm0619938,"Tatsuya Nakadai",1932,
nm0033171,"Michiyo Aratama",1930,2001
nm0725009,"Maurice Richlin",1920,1990
nm0701798,"Jean Pélégri",1920,2003
nm0000975,"Robert Bresson",1901,1999
nm0529543,"Jean-Pierre Léaud",1944,
nm0950391,"Marie-Josèphe Yoyotte",1929,2017
nm0001509,"Dean Martin",1917,1995
nm0001141,"Angie Dickinson",1931,
nm0102824,"Leigh Brackett",1915,1978
nm0564800,"B.H. McCampbell",,
nm0141092,"Ben Carruthers",1936,1983
nm0712743,"Anthony Ray",1937,2018
nm0464234,"Erich Kollmar",,
nm0184170,"Raoul Coutard",1924,2016
nm0001031,"Claude Chabrol",1930,2010
nm0812606,"Martial Solal",1927,
nm0062592,"Frances Bavier",1902,1989
nm0502766,"Sheldon Leonard",1907,1997
nm0001827,"Ray Walston",1914,2001
nm0541721,"Daniel Mandell",1895,1987
nm0641274,"John O'Hara",1905,1970
nm0932095,"Malcolm Williamson",1931,2003
nm0598289,"Yvonne Monlaur",1939,2017
nm0413528,"Freda Jackson",1907,1990
nm0279807,"Terence Fisher",1904,1980
nm0116999,"Peter Bryan",1919,1972
nm0000052,"Marcello Mastroianni",1924,1996
nm0001179,"Anita Ekberg",1931,2015
nm0299014,"Yvonne Furneaux",1928,
nm0006238,"André Previn",1929,2019
nm0023003,"John Alton",1901,1996
nm0949917,"Nedrick Young",1914,1968
nm0808414,"Harold Jacob Smith",1912,1970
nm0900143,"Monica Vitti",1931,
nm0751207,"Jack Golden Russell",,
nm0379174,"Lila Herman",,
nm0836977,"Michel Subor",1935,
nm0518452,"Goffredo Lombardo",1920,2005
nm0001260,"John Gavin",1931,2018
nm0088645,"Robert Bloch",1917,1994
nm0276043,"Shirley Anne Field",1938,
nm0048523,"Hylda Baker",1905,1986
nm0718554,"Karel Reisz",1926,2002
nm0005711,"Freddie Francis",1917,2007
nm0001792,"Rod Taylor",1930,2015
nm0949241,"Alan Young",1919,2016
nm0305426,"Russell Garcia",1916,2011
nm0449191,"Jean Keraudy",1920,2001
nm0176039,"Michel Constantin",1924,2003
nm0037870,"Philippe Arthuys",1928,2010
nm0350372,"Michael Gwynn",1916,1976
nm0798103,"Stirling Silliphant",1918,1996
nm0001495,"Patrick Macnee",1922,2015
nm0000303,"Honor Blackman",1925,
nm0001813,"Dick Van Dyke",1925,
nm0547300,"Rose Marie",1923,2017
nm0499151,"René Lefèvre",1898,1991
nm0461772,"Frederic Knudtson",1906,1964
nm0542631,"Abby Mann",1927,2008
nm0005768,"Ernest Laszlo",1898,1984
nm0007186,"Arthur Miller",1915,2005
nm0006218,"Alex North",1910,1991
nm0005797,"Russell Metty",1906,1978
nm0581282,"Gary Merrill",1915,1990
nm0256831,"Cy Endfield",1914,1995
nm0880489,"Daniel B. Ullman",1918,1979
nm0749476,"Charles Ruggles",1886,1970
nm0477696,"Erich Kästner",1899,1974
nm0005644,"Lucien Ballard",1904,1988
nm0027294,"Philip W. Anderson",1915,1980
nm0000339,"Roger Corman",1926,
nm0558577,"Richard Matheson",1926,2013
nm0677951,"Daniel Petrie",1920,2004
nm4078001,"Ronald H. Gilbert",,
nm0741614,"Philip Rose",1921,2011
nm0875362,"Yôko Tsukasa",1934,
nm0766496,"Masaru Satô",1928,1999
nm0000832,"Diane Baker",1938,
nm0508792,"Ugo Liberatore",1927,
nm0215589,"Remigio Del Grosso",1912,1984
nm0195647,"Giovanni d'Eramo",1921,
nm0481243,"Pär Lagerkvist",1891,1974
nm0049587,"Nigel Balchin",1908,1970
nm0264420,"Diego Fabbri",1911,1980
nm0074367,"Sidney Berger",1935,2013
nm0255156,"Art Ellison",1899,1994
nm0166647,"John Clifford",1918,2010
nm0505281,"Alain Levent",1934,2008
nm0100171,"Antoine Bourseiller",1930,2013
nm0561072,"Nicole Maurey",1925,2016
nm0782804,"Steve Sekely",1899,1979
nm0330024,"Bernard Gordon",1918,2007
nm0006267,"Carlo Rustichelli",1916,2004
nm0355256,"Arch Hall Sr.",1908,1978
nm0818700,"Leonard Spigelgass",1908,1985
nm0006312,"Jule Styne",1905,1994
nm0848533,"Tetsurô Tanba",1922,2006
nm0513823,"Harold Lipstein",1898,1974
